               *               *    core_i/load_store_unit_i/U517/output
            0.38            0.52    core_i/load_store_unit_i/U416/ZN
            1.64            1.70    core_i/load_store_unit_i/U226/A
            1.58            1.57    core_i/load_store_unit_i/U226/B
            1.58            1.57    core_i/load_store_unit_i/U226/Z
            1.65            1.70    core_i/load_store_unit_i/U231/A
            1.58            1.57    core_i/load_store_unit_i/U231/B
            1.58            1.57    core_i/load_store_unit_i/U231/Z
            0.29            0.15    core_i/load_store_unit_i/U423/A1
            4.03            3.93    core_i/load_store_unit_i/U423/A2
            0.29            0.14    core_i/load_store_unit_i/U423/B1
            3.98            3.89    core_i/load_store_unit_i/U423/B2
            0.14            0.29    core_i/load_store_unit_i/U423/ZN
            1.62            1.70    core_i/load_store_unit_i/U233/A
            1.60            1.58    core_i/load_store_unit_i/U233/B
            1.59            1.58    core_i/load_store_unit_i/U233/ZN
            4.19            4.12    core_i/load_store_unit_i/U430/A1
            0.51            0.38    core_i/load_store_unit_i/U430/A2
            4.21            4.12    core_i/load_store_unit_i/U430/B1
            0.51            0.37    core_i/load_store_unit_i/U430/B2
            0.37            0.51    core_i/load_store_unit_i/U430/ZN
            4.16            4.13    core_i/load_store_unit_i/U431/A1
            0.52            0.38    core_i/load_store_unit_i/U431/A2
            4.12            4.10    core_i/load_store_unit_i/U431/B1
            4.38            4.27    core_i/load_store_unit_i/U431/B2
            0.38            0.52    core_i/load_store_unit_i/U431/ZN
            1.64            1.71    core_i/load_store_unit_i/U240/A
            1.60            1.58    core_i/load_store_unit_i/U240/B
            1.59            1.58    core_i/load_store_unit_i/U240/ZN
            1.62            1.61    core_i/load_store_unit_i/U244/A
            1.61            1.69    core_i/load_store_unit_i/U244/B
            1.61            1.61    core_i/load_store_unit_i/U244/Z
            1.64            1.66    core_i/load_store_unit_i/U245/A1
            1.58            1.53    core_i/load_store_unit_i/U245/A2
            1.58            1.53    core_i/load_store_unit_i/U245/ZN
            4.30            4.34    core_i/load_store_unit_i/U439/A1
            4.15            4.18    core_i/load_store_unit_i/U439/A2
            4.18            4.15    core_i/load_store_unit_i/U439/ZN
            0.26            0.21    core_i/load_store_unit_i/U471/A1
            0.62            0.55    core_i/load_store_unit_i/U471/A2
            4.49            4.43    core_i/load_store_unit_i/U471/B1
            0.41            0.37    core_i/load_store_unit_i/U471/B2
            0.21            0.26    core_i/load_store_unit_i/U471/ZN
            0.59            0.50    core_i/load_store_unit_i/U470/A1
            4.15            4.17    core_i/load_store_unit_i/U470/A2
            0.59            0.48    core_i/load_store_unit_i/U470/B1
            4.12            4.11    core_i/load_store_unit_i/U470/B2
            0.58            0.47    core_i/load_store_unit_i/U470/C1
            4.16            4.15    core_i/load_store_unit_i/U470/C2
            0.47            0.58    core_i/load_store_unit_i/U470/ZN
            4.16            4.23    core_i/load_store_unit_i/U475/C1
            4.39            4.49    core_i/load_store_unit_i/U475/C2
            0.39            0.53    core_i/load_store_unit_i/U475/A
            0.39            0.53    core_i/load_store_unit_i/U475/B
            0.53            0.39    core_i/load_store_unit_i/U475/ZN
            4.14            4.12    core_i/load_store_unit_i/U479/A1
            4.47            4.37    core_i/load_store_unit_i/U479/A2
            4.18            4.16    core_i/load_store_unit_i/U479/B1
            0.51            0.38    core_i/load_store_unit_i/U479/B2
            0.38            0.51    core_i/load_store_unit_i/U479/ZN
            0.59            0.62    core_i/load_store_unit_i/U33/A1
            4.60            4.55    core_i/load_store_unit_i/U33/A2
            0.62            0.59    core_i/load_store_unit_i/U33/ZN
            0.26            0.15    core_i/load_store_unit_i/U480/A1
            0.62            0.48    core_i/load_store_unit_i/U480/A2
            4.49            4.37    core_i/load_store_unit_i/U480/B1
            0.41            0.30    core_i/load_store_unit_i/U480/B2
            0.15            0.26    core_i/load_store_unit_i/U480/ZN
            4.13            4.08    core_i/load_store_unit_i/U482/A1
            0.59            0.43    core_i/load_store_unit_i/U482/A2
            4.14            4.09    core_i/load_store_unit_i/U482/B1
            0.59            0.41    core_i/load_store_unit_i/U482/B2
            0.59            0.41    core_i/load_store_unit_i/U482/C1
            4.16            4.09    core_i/load_store_unit_i/U482/C2
            0.41            0.59    core_i/load_store_unit_i/U482/ZN
            0.26            0.15    core_i/load_store_unit_i/U483/A1
            0.63            0.48    core_i/load_store_unit_i/U483/A2
            4.50            4.37    core_i/load_store_unit_i/U483/B1
            0.41            0.30    core_i/load_store_unit_i/U483/B2
            0.15            0.26    core_i/load_store_unit_i/U483/ZN
            4.46            4.37    core_i/load_store_unit_i/U485/A1
            4.14            4.11    core_i/load_store_unit_i/U485/A2
            4.18            4.16    core_i/load_store_unit_i/U485/B1
            0.51            0.37    core_i/load_store_unit_i/U485/B2
            0.37            0.51    core_i/load_store_unit_i/U485/ZN
            1.60            1.58    core_i/load_store_unit_i/U294/A1
            1.60            1.60    core_i/load_store_unit_i/U294/A2
            1.58            1.60    core_i/load_store_unit_i/U294/ZN
            0.26            0.15    core_i/load_store_unit_i/U486/A1
            0.62            0.48    core_i/load_store_unit_i/U486/A2
            4.49            4.37    core_i/load_store_unit_i/U486/B1
            0.41            0.30    core_i/load_store_unit_i/U486/B2
            0.15            0.26    core_i/load_store_unit_i/U486/ZN
            1.18            1.18    core_i/load_store_unit_i/U296/A
            1.18            1.18    core_i/load_store_unit_i/U296/ZN
            4.13            4.11    core_i/load_store_unit_i/U488/A1
            4.46            4.37    core_i/load_store_unit_i/U488/A2
            4.18            4.15    core_i/load_store_unit_i/U488/B1
            0.51            0.37    core_i/load_store_unit_i/U488/B2
            0.37            0.51    core_i/load_store_unit_i/U488/ZN
            0.25            0.15    core_i/load_store_unit_i/U489/A1
            0.62            0.48    core_i/load_store_unit_i/U489/A2
            4.49            4.37    core_i/load_store_unit_i/U489/B1
            0.40            0.30    core_i/load_store_unit_i/U489/B2
            0.15            0.25    core_i/load_store_unit_i/U489/ZN
            1.18            1.23    core_i/load_store_unit_i/U43/A1
            1.21            1.23    core_i/load_store_unit_i/U43/A2
            1.18            1.23    core_i/load_store_unit_i/U43/ZN
            0.62            0.75    core_i/load_store_unit_i/U45/A1
            0.64            0.73    core_i/load_store_unit_i/U45/A2
            0.73            0.62    core_i/load_store_unit_i/U45/ZN
            1.30            1.35    core_i/load_store_unit_i/U46/A
            1.35            1.30    core_i/load_store_unit_i/U46/ZN
            0.69            0.80    core_i/load_store_unit_i/U47/A1
            0.71            0.81    core_i/load_store_unit_i/U47/A2
            0.69            0.80    core_i/load_store_unit_i/U47/ZN
            1.18            1.26    core_i/load_store_unit_i/U48/A1
            1.21            1.26    core_i/load_store_unit_i/U48/A2
            1.18            1.26    core_i/load_store_unit_i/U48/ZN
            1.34            1.31    core_i/load_store_unit_i/U496/A
            1.31            1.34    core_i/load_store_unit_i/U496/ZN
            1.05            0.93    core_i/load_store_unit_i/U55/A1
            1.20            1.21    core_i/load_store_unit_i/U55/A2
            0.93            1.05    core_i/load_store_unit_i/U55/ZN
            0.51            0.36    core_i/load_store_unit_i/U59/A1
            0.67            0.64    core_i/load_store_unit_i/U59/A2
            0.51            0.36    core_i/load_store_unit_i/U59/ZN
            1.57            1.59    core_i/load_store_unit_i/U500/A1
            1.87            1.88    core_i/load_store_unit_i/U500/A2
            1.57            1.59    core_i/load_store_unit_i/U500/ZN
            4.06            4.12    core_i/load_store_unit_i/U316/A1
            4.37            4.35    core_i/load_store_unit_i/U316/A2
            4.19            4.19    core_i/load_store_unit_i/U316/B1
            0.41            0.35    core_i/load_store_unit_i/U316/B2
            0.35            0.41    core_i/load_store_unit_i/U316/ZN
            0.13            0.21    core_i/load_store_unit_i/U126/B1
            0.14            0.19    core_i/load_store_unit_i/U126/B2
            0.14            0.21    core_i/load_store_unit_i/U126/A
            0.19            0.13    core_i/load_store_unit_i/U126/ZN
            4.04            4.08    core_i/load_store_unit_i/U320/A1
            4.37            4.35    core_i/load_store_unit_i/U320/A2
            0.49            0.44    core_i/load_store_unit_i/U320/B1
            4.13            4.18    core_i/load_store_unit_i/U320/B2
            0.44            0.49    core_i/load_store_unit_i/U320/ZN
            1.62            1.65    core_i/load_store_unit_i/U512/A
            1.65            1.62    core_i/load_store_unit_i/U512/ZN
            4.10            4.19    core_i/load_store_unit_i/U324/A1
            4.36            4.34    core_i/load_store_unit_i/U324/A2
            4.03            4.06    core_i/load_store_unit_i/U324/B1
            0.48            0.43    core_i/load_store_unit_i/U324/B2
            0.43            0.48    core_i/load_store_unit_i/U324/ZN
            0.27            0.12    core_i/load_store_unit_i/U138/A1
            0.41            0.38    core_i/load_store_unit_i/U138/A2
            0.27            0.12    core_i/load_store_unit_i/U138/ZN
            0.26            0.11    core_i/load_store_unit_i/U139/A1
            0.39            0.37    core_i/load_store_unit_i/U139/A2
            0.11            0.26    core_i/load_store_unit_i/U139/ZN
            4.06            4.12    core_i/load_store_unit_i/U330/A1
            4.36            4.35    core_i/load_store_unit_i/U330/A2
            4.18            4.19    core_i/load_store_unit_i/U330/B1
            0.41            0.35    core_i/load_store_unit_i/U330/B2
            0.35            0.41    core_i/load_store_unit_i/U330/ZN
